nom_poisson,rarete,liens,type_poisson
Anchois,Peu Commun,https://margxt.fr/wp-content/uploads/2020/03/anchovy.png,poisson
Arapaïma,Rare,https://margxt.fr/wp-content/uploads/2020/03/arapaima.png,poisson
Arowana,Rare,https://margxt.fr/wp-content/uploads/2020/03/arowana.png,poisson
Ayu,Peu Commun,https://margxt.fr/wp-content/uploads/2020/03/sweetfish.png,poisson
Bar,Commun,https://margxt.fr/wp-content/uploads/2020/03/black-bass.png,poisson
Bar Commun,Commun,https://margxt.fr/wp-content/uploads/2020/03/sea-bass.png,poisson
Bichir,Rare,https://margxt.fr/wp-content/uploads/2020/03/saddled-bichir.png,poisson
Bouvière,Commun,https://margxt.fr/wp-content/uploads/2020/03/bitterling.png,poisson
Brochet,Rare,https://margxt.fr/wp-content/uploads/2020/03/pike.png,poisson
Calmar,Peu Commun,https://margxt.fr/wp-content/uploads/2020/03/squid.png,poisson
Carangue grosse tête,Très Rare,https://margxt.fr/wp-content/uploads/2020/03/giant-trevally.png,poisson
Carassin,Commun,https://margxt.fr/wp-content/uploads/2020/03/crucian-carp.png,poisson
Cardeau,Peu Commun,https://margxt.fr/wp-content/uploads/2020/03/olive-flounder.png,poisson
Carpe,Très Rare,https://margxt.fr/wp-content/uploads/2020/03/carp.png,poisson
Carpe Koï,Rare,https://margxt.fr/wp-content/uploads/2020/03/koi.png,poisson
Chevaine,Peu Commun,https://margxt.fr/wp-content/uploads/2020/03/pale-chub.png,poisson
Chinchard,Peu Commun,https://margxt.fr/wp-content/uploads/2020/03/horse-mackerel.png,poisson
Clione,Peu Commun,https://margxt.fr/wp-content/uploads/2020/03/sea-butterfly.png,poisson
Coelacanthe,Rare,https://margxt.fr/wp-content/uploads/2020/03/coelacanth.png,poisson
Combattant,Très Rare,https://margxt.fr/wp-content/uploads/2020/03/betta.png,poisson
Coryphène,Très Rare,https://margxt.fr/wp-content/uploads/2020/03/mahi-mahi.png,poisson
Crabe chinois,Rare,https://margxt.fr/wp-content/uploads/2020/03/mitten-crab.png,poisson
Crapet,Commun,https://margxt.fr/wp-content/uploads/2020/03/bluegill.png,poisson
Cyprin doré,Peu Commun,https://margxt.fr/wp-content/uploads/2020/03/pop-eyed-goldfish.png,poisson
Dai yu,Très Rare,https://margxt.fr/wp-content/uploads/2020/03/stringfish.png,poisson
Dorado,Très Rare,https://margxt.fr/wp-content/uploads/2020/03/FishDolado.png,poisson
Écrevisse,Commun,https://margxt.fr/wp-content/uploads/2020/03/crawfish.png,poisson
Eperlan,Commun,https://margxt.fr/wp-content/uploads/2020/03/pond-smelt.png,poisson
Esturgeon,Rare,https://margxt.fr/wp-content/uploads/2020/03/sturgeon.png,poisson
Fondule barré,Rare,https://margxt.fr/wp-content/uploads/2020/03/killifish.png,poisson
Gar,Très Rare,https://margxt.fr/wp-content/uploads/2020/03/gar.png,poisson
Gobie d’eau douce,Peu Commun,https://margxt.fr/wp-content/uploads/2020/03/freshwater-goby.png,poisson
Grand requin blanc,Rare,https://margxt.fr/wp-content/uploads/2020/03/great-white-shark.png,poisson
Grenouille,Peu Commun,https://margxt.fr/wp-content/uploads/2020/03/frog.png,poisson
Guppy,Peu Commun,https://margxt.fr/wp-content/uploads/2020/03/guppy.png,poisson
Hippocampe,Rare,https://margxt.fr/wp-content/uploads/2020/03/sea-horse.png,poisson
Limande,Commun,https://margxt.fr/wp-content/uploads/2020/03/dab.png,poisson
Loche d’étang,Commun,https://margxt.fr/wp-content/uploads/2020/03/loach.png,poisson
Lune de mer,Très Rare,https://margxt.fr/wp-content/uploads/2020/03/ocean-sunfish.png,poisson
Macropinna,Très Rare,https://margxt.fr/wp-content/uploads/2020/03/barreleye.png,poisson
Marlin bleu,Très Rare,https://margxt.fr/wp-content/uploads/2020/03/blue-marlin.png,poisson
Murène,Peu Commun,https://margxt.fr/wp-content/uploads/2020/03/moray-eel.png,poisson
Murène ruban bleue,Peu Commun,https://margxt.fr/wp-content/uploads/2020/03/ribbon-eel.png,poisson
Napoléon,Rare,https://margxt.fr/wp-content/uploads/2020/03/napoleonfish.png,poisson
Néon bleu,Peu Commun,https://margxt.fr/wp-content/uploads/2020/03/neon-tetra.png,poisson
Omble,Rare,https://margxt.fr/wp-content/uploads/2020/03/char.png,poisson
Perche jaune,Commun,https://margxt.fr/wp-content/uploads/2020/03/yellow-perch.png,poisson
Piranha,Peu Commun,https://margxt.fr/wp-content/uploads/2020/03/FishPirania.png,poisson
