nom_poisson,rarete,liens,type_poisson
Saumon Minecraft,Peu Commun,https://minecraft.wiki/images/thumb/Salmon.gif/240px-Salmon.gif?cb24f,poisson
Morue Minecraft,Commun,https://minecraft.wiki/images/Cod.gif?fe8d7,poisson
Poisson tropical,Très Rare,https://minecraft.wiki/images/thumb/Fish2.gif/2560px-Fish2.gif?18086,poisson
Calamar lumineux,Rare,https://minecraft.wiki/images/Glow_Squid_JE1.gif?dcad8,poisson
Axolot,Rare,https://minecraft.wiki/images/Lucy_Axolotl_JE2.png?90400,poisson
Têtard Minecraft,Commun,https://minecraft.wiki/images/Tadpole_swimming.gif?8087f,poisson
Poisson-globe,Rare,https://minecraft.wiki/images/Pufferfish_large.gif?087cd,poisson
Dauphin,Rare,https://minecraft.wiki/images/Dolphin.gif?3f0f5,poisson
Gardien,Rare,https://minecraft.wiki/images/Guardian.gif?19e5a,poisson
Gardien ancien,Très Rare,https://minecraft.wiki/images/Elder_Guardian.gif?99f67,poisson
Livre enchanté,Très Rare,https://minecraft.wiki/images/Enchanted_Book.gif?c1b90,objet
